CBSACode,MetroName,GroupCode,GroupName,Congregations,Adherents,Adherents_percent_of_Total_Adherents,Adherents_percent_of_Population
35840,North Port-Sarasota-Bradenton FL Metro Area,435,Unitarian Universalist Association of Congregations,3,1614,0.44,0.19
35840,North Port-Sarasota-Bradenton FL Metro Area,443,United Church of Christ,7,1095,0.30,0.13
35840,North Port-Sarasota-Bradenton FL Metro Area,449,United Methodist Church,27,15475,4.26,1.86
35840,North Port-Sarasota-Bradenton FL Metro Area,454,United Pentecostal Church International,7,,,
35840,North Port-Sarasota-Bradenton FL Metro Area,124,Unity Churches Association of,4,,,
35840,North Port-Sarasota-Bradenton FL Metro Area,892,Vajarayana Buddhist,4,760,0.21,0.09
35840,North Port-Sarasota-Bradenton FL Metro Area,469,Wisconsin Evangelical Lutheran Synod,4,627,0.17,0.08
35860,North Vernon IN Micro Area,019,American Baptist Churches in the USA,9,1971,22.01,7.14
35860,North Vernon IN Micro Area,031,Amish Groups undifferentiated,1,162,1.81,0.59
35860,North Vernon IN Micro Area,053,Assemblies of God,1,61,0.68,0.22
35860,North Vernon IN Micro Area,081,Catholic Church,3,1551,17.32,5.62
35860,North Vernon IN Micro Area,097,Christian Churches and Churches of Christ,5,901,10.06,3.26
35860,North Vernon IN Micro Area,123,Church of God (Anderson Indiana),4,306,3.42,1.11
35860,North Vernon IN Micro Area,127,Church of God (Cleveland Tennessee),2,0,0.00,0.00
35860,North Vernon IN Micro Area,151,Church of Jesus Christ of Latter-day Saints,1,335,3.74,1.21
35860,North Vernon IN Micro Area,165,Church of the Nazarene,1,184,2.05,0.67
35860,North Vernon IN Micro Area,167,Churches of Christ,2,96,1.07,0.35
35860,North Vernon IN Micro Area,272,"Jehovah's Witnesses",1,146,1.63,0.53
35860,North Vernon IN Micro Area,283,Lutheran Church--Missouri Synod,1,80,0.89,0.29
35860,North Vernon IN Micro Area,500,Non-denominational Christian Churches,6,960,10.72,3.48
35860,North Vernon IN Micro Area,355,Presbyterian Church (U.S.A.),4,67,0.75,0.24
35860,North Vernon IN Micro Area,413,Seventh-day Adventist Church,1,78,0.87,0.28
35860,North Vernon IN Micro Area,419,Southern Baptist Convention,5,1242,13.87,4.50
35860,North Vernon IN Micro Area,449,United Methodist Church,8,817,9.12,2.96
35860,North Vernon IN Micro Area,467,Wesleyan Church,1,,,
35900,North Wilkesboro NC Micro Area,001,Advent Christian Church,2,189,0.47,0.29
35900,North Wilkesboro NC Micro Area,005,African Methodist Episcopal Zion Church,2,384,0.95,0.58
35900,North Wilkesboro NC Micro Area,053,Assemblies of God,3,131,0.32,0.20
35900,North Wilkesboro NC Micro Area,055,Associate Reformed Presbyterian Church,1,,,
35900,North Wilkesboro NC Micro Area,056,"Baha'i Faith USA",0,6,0.01,0.01
35900,North Wilkesboro NC Micro Area,081,Catholic Church,1,2911,7.21,4.41
35900,North Wilkesboro NC Micro Area,127,Church of God (Cleveland Tennessee),3,155,0.38,0.23
35900,North Wilkesboro NC Micro Area,145,Church of God of Prophecy,1,,,
35900,North Wilkesboro NC Micro Area,151,Church of Jesus Christ of Latter-day Saints,1,490,1.21,0.74
35900,North Wilkesboro NC Micro Area,157,Church of the Brethren,1,72,0.18,0.11
35900,North Wilkesboro NC Micro Area,167,Churches of Christ,3,250,0.62,0.38
35900,North Wilkesboro NC Micro Area,193,Episcopal Church,1,306,0.76,0.46
35900,North Wilkesboro NC Micro Area,338,Independent Yearly Meetings of Friends,1,8,0.02,0.01
35900,North Wilkesboro NC Micro Area,272,"Jehovah's Witnesses",3,540,1.34,0.82
35900,North Wilkesboro NC Micro Area,255,Lutheran Congregations in Mission for Christ,1,110,0.27,0.17
35900,North Wilkesboro NC Micro Area,302,National Missionary Baptist Convention Inc.,5,1350,3.34,2.05
35900,North Wilkesboro NC Micro Area,500,Non-denominational Christian Churches,14,3628,8.98,5.50
35900,North Wilkesboro NC Micro Area,314,North American Lutheran Church,1,,,
35900,North Wilkesboro NC Micro Area,355,Presbyterian Church (U.S.A.),2,294,0.73,0.45
35900,North Wilkesboro NC Micro Area,413,Seventh-day Adventist Church,1,93,0.23,0.14
35900,North Wilkesboro NC Micro Area,419,Southern Baptist Convention,87,26703,66.13,40.48
35900,North Wilkesboro NC Micro Area,449,United Methodist Church,14,2759,6.83,4.18
35900,North Wilkesboro NC Micro Area,454,United Pentecostal Church International,1,,,
35940,Norwalk OH Micro Area,019,American Baptist Churches in the USA,2,923,4.15,1.58
35940,Norwalk OH Micro Area,031,Amish Groups undifferentiated,1,108,0.49,0.18
35940,Norwalk OH Micro Area,053,Assemblies of God,5,276,1.24,0.47
35940,Norwalk OH Micro Area,056,"Baha'i Faith USA",0,3,0.01,0.01
35940,Norwalk OH Micro Area,081,Catholic Church,9,11286,50.75,19.27
35940,Norwalk OH Micro Area,244,Charis Fellowship,4,,,
35940,Norwalk OH Micro Area,089,Christian and Missionary Alliance,4,1331,5.99,2.27
35940,Norwalk OH Micro Area,097,Christian Churches and Churches of Christ,2,9,0.04,0.02
35940,Norwalk OH Micro Area,105,Christian Reformed Church in North America,1,125,0.56,0.21
35940,Norwalk OH Micro Area,127,Church of God (Cleveland Tennessee),2,534,2.40,0.91
35940,Norwalk OH Micro Area,145,Church of God of Prophecy,1,,,
35940,Norwalk OH Micro Area,146,"Church of God Mountain Assembly, Inc.",1,,,
35940,Norwalk OH Micro Area,165,Church of the Nazarene,1,302,1.36,0.52
35940,Norwalk OH Micro Area,167,Churches of Christ,4,207,0.93,0.35
35940,Norwalk OH Micro Area,193,Episcopal Church,1,52,0.23,0.09
35940,Norwalk OH Micro Area,207,Evangelical Lutheran Church in America,3,1238,5.57,2.11
35940,Norwalk OH Micro Area,388,General Association of Regular Baptist Churches,2,,,
35940,Norwalk OH Micro Area,FDX,Haven Mennonite Fellowship,1,50,0.22,0.09
35940,Norwalk OH Micro Area,272,"Jehovah's Witnesses",2,424,1.91,0.72
35940,Norwalk OH Micro Area,223,National Association of Free Will Baptists,1,69,0.31,0.12
35940,Norwalk OH Micro Area,500,Non-denominational Christian Churches,12,1690,7.60,2.89
35940,Norwalk OH Micro Area,314,North American Lutheran Church,2,,,
35940,Norwalk OH Micro Area,355,Presbyterian Church (U.S.A.),1,291,1.31,0.50
35940,Norwalk OH Micro Area,403,Salvation Army,1,73,0.33,0.12
35940,Norwalk OH Micro Area,413,Seventh-day Adventist Church,3,168,0.76,0.29
35940,Norwalk OH Micro Area,419,Southern Baptist Convention,3,423,1.90,0.72
35940,Norwalk OH Micro Area,443,United Church of Christ,3,337,1.52,0.58
35940,Norwalk OH Micro Area,449,United Methodist Church,13,2319,10.43,3.96
35940,Norwalk OH Micro Area,454,United Pentecostal Church International,1,,,
35980,Norwich-New London CT Metro Area,003,African Methodist Episcopal Church,2,252,0.26,0.09
35980,Norwich-New London CT Metro Area,005,African Methodist Episcopal Zion Church,3,510,0.53,0.19
35980,Norwich-New London CT Metro Area,012,Alliance of Baptists,1,,,
35980,Norwich-New London CT Metro Area,019,American Baptist Churches in the USA,17,4337,4.54,1.61
35980,Norwich-New London CT Metro Area,033,Anglican Church in North America,1,,,
35980,Norwich-New London CT Metro Area,053,Assemblies of God,9,884,0.93,0.33
35980,Norwich-New London CT Metro Area,056,"Baha'i Faith USA",1,83,0.09,0.03
35980,Norwich-New London CT Metro Area,084,Calvary Chapel Fellowship Churches,1,,,
35980,Norwich-New London CT Metro Area,081,Catholic Church,31,50781,53.14,18.91
35980,Norwich-New London CT Metro Area,FGS,Chabad Judaism,1,,,
35980,Norwich-New London CT Metro Area,089,Christian and Missionary Alliance,2,393,0.41,0.15
35980,Norwich-New London CT Metro Area,353,Christian Brethren (Open Plymouth Brethren),2,,,
35980,Norwich-New London CT Metro Area,111,Church of Christ Scientist,1,,,
35980,Norwich-New London CT Metro Area,127,Church of God (Cleveland Tennessee),2,0,0.00,0.00
35980,Norwich-New London CT Metro Area,141,Church of God in Christ,1,70,0.07,0.03
35980,Norwich-New London CT Metro Area,151,Church of Jesus Christ of Latter-day Saints,5,2255,2.36,0.84
35980,Norwich-New London CT Metro Area,155,Church of Our Lord Jesus Christ of the Apostolic Faith Inc.,2,252,0.26,0.09
35980,Norwich-New London CT Metro Area,165,Church of the Nazarene,1,10,0.01,0.00
35980,Norwich-New London CT Metro Area,167,Churches of Christ,1,120,0.13,0.04
35980,Norwich-New London CT Metro Area,173,Community of Christ,1,,,
35980,Norwich-New London CT Metro Area,176,Congregational Christian Churches Additional (not part of any national CCC body),1,48,0.05,0.02
35980,Norwich-New London CT Metro Area,181,Conservative Congregational Christian Conference,2,129,0.13,0.05
35980,Norwich-New London CT Metro Area,270,Conservative Judaism,2,721,0.75,0.27
35980,Norwich-New London CT Metro Area,057,Converge Worldwide / Baptist General Conference,1,,,
35980,Norwich-New London CT Metro Area,186,Coptic Orthodox Church,1,116,0.12,0.04
35980,Norwich-New London CT Metro Area,193,Episcopal Church,9,2326,2.43,0.87
35980,Norwich-New London CT Metro Area,FG8,Episcopal Missionary Church,1,,,
35980,Norwich-New London CT Metro Area,203,Evangelical Free Church of America,2,,,
35980,Norwich-New London CT Metro Area,207,Evangelical Lutheran Church in America,2,552,0.58,0.21
35980,Norwich-New London CT Metro Area,346,Fire-Baptized Holiness Church of the Americas,1,,,
35980,Norwich-New London CT Metro Area,263,Foursquare Gospel International Church of the,1,68,0.07,0.03
35980,Norwich-New London CT Metro Area,221,Free Methodist Church--USA,1,766,0.80,0.29
35980,Norwich-New London CT Metro Area,393,Friends General Conference and Friends United Meeting dually aligned meetings,1,17,0.02,0.01
35980,Norwich-New London CT Metro Area,FFR,Full Gospel Christian Assemblies International,2,380,0.40,0.14
35980,Norwich-New London CT Metro Area,246,Greek Orthodox Archdiocese of America,2,825,0.86,0.31
35980,Norwich-New London CT Metro Area,264,International Churches of Christ,1,165,0.17,0.06
35980,Norwich-New London CT Metro Area,272,"Jehovah's Witnesses",11,2486,2.60,0.93
35980,Norwich-New London CT Metro Area,283,Lutheran Church--Missouri Synod,4,578,0.60,0.22
35980,Norwich-New London CT Metro Area,267,Muslim Estimate,1,322,0.34,0.12
35980,Norwich-New London CT Metro Area,175,National Association of Congregational Christian Churches,8,952,1.00,0.35
35980,Norwich-New London CT Metro Area,300,"National Baptist Convention USA, Inc.",3,1520,1.59,0.57
35980,Norwich-New London CT Metro Area,302,National Missionary Baptist Convention Inc.,1,250,0.26,0.09
35980,Norwich-New London CT Metro Area,303,National Spiritualist Association of Churches,3,,,
35980,Norwich-New London CT Metro Area,500,Non-denominational Christian Churches,27,15030,15.73,5.60
35980,Norwich-New London CT Metro Area,331,Orthodox Church in America,1,35,0.04,0.01
35980,Norwich-New London CT Metro Area,276,Orthodox Judaism,1,430,0.45,0.16
35980,Norwich-New London CT Metro Area,352,Polish National Catholic Church,1,,,
35980,Norwich-New London CT Metro Area,355,Presbyterian Church (U.S.A.),2,189,0.20,0.07
35980,Norwich-New London CT Metro Area,356,Presbyterian Church in America,1,88,0.09,0.03
35980,Norwich-New London CT Metro Area,271,Reform Judaism,1,540,0.57,0.20
35980,Norwich-New London CT Metro Area,401,Russian Orthodox Church Outside of Russia,1,48,0.05,0.02
35980,Norwich-New London CT Metro Area,403,Salvation Army,1,80,0.08,0.03
35980,Norwich-New London CT Metro Area,415,Seventh Day Baptist General Conference USA and Canada,1,7,0.01,0.00
35980,Norwich-New London CT Metro Area,413,Seventh-day Adventist Church,5,530,0.55,0.20
35980,Norwich-New London CT Metro Area,419,Southern Baptist Convention,10,1262,1.32,0.47
35980,Norwich-New London CT Metro Area,435,Unitarian Universalist Association of Congregations,2,320,0.33,0.12
35980,Norwich-New London CT Metro Area,443,United Church of Christ,17,3791,3.97,1.41
35980,Norwich-New London CT Metro Area,449,United Methodist Church,9,1046,1.09,0.39
35980,Norwich-New London CT Metro Area,454,United Pentecostal Church International,1,,,
35980,Norwich-New London CT Metro Area,179,Venture Church Network,5,,,
36020,Oak Harbor WA Micro Area,033,Anglican Church in North America,1,,,
36020,Oak Harbor WA Micro Area,053,Assemblies of God,5,524,1.08,0.60
36020,Oak Harbor WA Micro Area,056,"Baha'i Faith USA",1,76,0.16,0.09
36020,Oak Harbor WA Micro Area,081,Catholic Church,3,5273,10.89,6.07
36020,Oak Harbor WA Micro Area,089,Christian and Missionary Alliance,2,322,0.66,0.37
36020,Oak Harbor WA Micro Area,105,Christian Reformed Church in North America,1,83,0.17,0.10
36020,Oak Harbor WA Micro Area,151,Church of Jesus Christ of Latter-day Saints,6,3150,6.50,3.63
36020,Oak Harbor WA Micro Area,165,Church of the Nazarene,1,320,0.66,0.37
36020,Oak Harbor WA Micro Area,167,Churches of Christ,1,88,0.18,0.10
36020,Oak Harbor WA Micro Area,057,Converge Worldwide / Baptist General Conference,1,,,
36020,Oak Harbor WA Micro Area,193,Episcopal Church,3,403,0.83,0.46
36020,Oak Harbor WA Micro Area,203,Evangelical Free Church of America,1,,,
36020,Oak Harbor WA Micro Area,207,Evangelical Lutheran Church in America,4,2427,5.01,2.79
36020,Oak Harbor WA Micro Area,263,Foursquare Gospel International Church of the,3,902,1.86,1.04
36020,Oak Harbor WA Micro Area,338,Independent Yearly Meetings of Friends,1,30,0.06,0.03
36020,Oak Harbor WA Micro Area,272,"Jehovah's Witnesses",2,428,0.88,0.49
36020,Oak Harbor WA Micro Area,283,Lutheran Church--Missouri Synod,1,101,0.21,0.12
36020,Oak Harbor WA Micro Area,890,Mahayana Buddhist,1,17,0.04,0.02
36020,Oak Harbor WA Micro Area,500,Non-denominational Christian Churches,14,31420,64.88,36.17
36020,Oak Harbor WA Micro Area,335,Orthodox Presbyterian Church,1,,,
36020,Oak Harbor WA Micro Area,355,Presbyterian Church (U.S.A.),2,204,0.42,0.23
36020,Oak Harbor WA Micro Area,371,Reformed Church in America,1,173,0.36,0.20
36020,Oak Harbor WA Micro Area,413,Seventh-day Adventist Church,1,199,0.41,0.23
36020,Oak Harbor WA Micro Area,419,Southern Baptist Convention,4,1376,2.84,1.58
36020,Oak Harbor WA Micro Area,435,Unitarian Universalist Association of Congregations,1,103,0.21,0.12
36020,Oak Harbor WA Micro Area,449,United Methodist Church,3,809,1.67,0.93
36020,Oak Harbor WA Micro Area,124,Unity Churches Association of,1,,,
36100,Ocala FL Metro Area,003,African Methodist Episcopal Church,14,2592,1.80,0.69
36100,Ocala FL Metro Area,017,American Baptist Association,1,162,0.11,0.04
36100,Ocala FL Metro Area,019,American Baptist Churches in the USA,1,,,
36100,Ocala FL Metro Area,FG3,Anglican Province of America,2,,,
36100,Ocala FL Metro Area,034,Antiochian Orthodox Christian Archdiocese of North America The,1,39,0.03,0.01
36100,Ocala FL Metro Area,053,Assemblies of God,17,2741,1.90,0.73
36100,Ocala FL Metro Area,056,"Baha'i Faith USA",1,85,0.06,0.02
36100,Ocala FL Metro Area,084,Calvary Chapel Fellowship Churches,1,,,
36100,Ocala FL Metro Area,081,Catholic Church,11,38372,26.61,10.21
36100,Ocala FL Metro Area,244,Charis Fellowship,1,,,
36100,Ocala FL Metro Area,087,Christadelphian,1,,,
36100,Ocala FL Metro Area,089,Christian and Missionary Alliance,3,319,0.22,0.08
36100,Ocala FL Metro Area,353,Christian Brethren (Open Plymouth Brethren),1,,,
36100,Ocala FL Metro Area,093,Christian Church (Disciples of Christ),4,353,0.24,0.09
36100,Ocala FL Metro Area,097,Christian Churches and Churches of Christ,5,1515,1.05,0.40
36100,Ocala FL Metro Area,101,Christian Methodist Episcopal Church,1,90,0.06,0.02
36100,Ocala FL Metro Area,111,Church of Christ Scientist,1,,,
36100,Ocala FL Metro Area,123,Church of God (Anderson Indiana),2,4760,3.30,1.27
36100,Ocala FL Metro Area,127,Church of God (Cleveland Tennessee),14,3588,2.49,0.95
36100,Ocala FL Metro Area,122,Church of God by Faith Inc.,2,,,
36100,Ocala FL Metro Area,141,Church of God in Christ,7,826,0.57,0.22
36100,Ocala FL Metro Area,145,Church of God of Prophecy,2,,,
36100,Ocala FL Metro Area,151,Church of Jesus Christ of Latter-day Saints,4,2172,1.51,0.58
36100,Ocala FL Metro Area,165,Church of the Nazarene,3,287,0.20,0.08
36100,Ocala FL Metro Area,167,Churches of Christ,12,1230,0.85,0.33
36100,Ocala FL Metro Area,173,Community of Christ,1,,,
36100,Ocala FL Metro Area,193,Episcopal Church,4,927,0.64,0.25
36100,Ocala FL Metro Area,203,Evangelical Free Church of America,1,,,
36100,Ocala FL Metro Area,207,Evangelical Lutheran Church in America,4,600,0.42,0.16
36100,Ocala FL Metro Area,FFF,Evangelical Lutheran Conference and Ministerium of North America,1,,,
36100,Ocala FL Metro Area,FFR,Full Gospel Christian Assemblies International,1,600,0.42,0.16
36100,Ocala FL Metro Area,388,General Association of Regular Baptist Churches,2,,,
36100,Ocala FL Metro Area,FGM,Grace Communion International,1,,,
36100,Ocala FL Metro Area,246,Greek Orthodox Archdiocese of America,1,75,0.05,0.02
36100,Ocala FL Metro Area,895,Hindu Temples,1,2300,1.59,0.61
36100,Ocala FL Metro Area,896,Hindu Yoga and Meditation,3,2736,1.90,0.73
36100,Ocala FL Metro Area,272,"Jehovah's Witnesses",27,7288,5.05,1.94
36100,Ocala FL Metro Area,283,Lutheran Church--Missouri Synod,6,1807,1.25,0.48
36100,Ocala FL Metro Area,290,Metropolitan Community Churches,2,48,0.03,0.01
36100,Ocala FL Metro Area,267,Muslim Estimate,2,1091,0.76,0.29
36100,Ocala FL Metro Area,175,National Association of Congregational Christian Churches,1,129,0.09,0.03
36100,Ocala FL Metro Area,223,National Association of Free Will Baptists,2,112,0.08,0.03
36100,Ocala FL Metro Area,300,"National Baptist Convention USA, Inc.",2,426,0.30,0.11
36100,Ocala FL Metro Area,302,National Missionary Baptist Convention Inc.,15,4478,3.10,1.19
36100,Ocala FL Metro Area,304,"National Primitive Baptist Convention USA, Inc.",3,552,0.38,0.15
36100,Ocala FL Metro Area,309,New Apostolic Church USA,1,,,
36100,Ocala FL Metro Area,500,Non-denominational Christian Churches,62,30430,21.10,8.10
36100,Ocala FL Metro Area,352,Polish National Catholic Church,1,,,
36100,Ocala FL Metro Area,355,Presbyterian Church (U.S.A.),10,1822,1.26,0.48
36100,Ocala FL Metro Area,356,Presbyterian Church in America,5,756,0.52,0.20
36100,Ocala FL Metro Area,363,Primitive Methodist Church in the USA,1,,,
36100,Ocala FL Metro Area,364,Progressive National Baptist Convention Inc.,1,126,0.09,0.03
36100,Ocala FL Metro Area,271,Reform Judaism,1,262,0.18,0.07
36100,Ocala FL Metro Area,380,Reformed Presbyterian Church General Assembly,1,,,
36100,Ocala FL Metro Area,403,Salvation Army,1,212,0.15,0.06
36100,Ocala FL Metro Area,413,Seventh-day Adventist Church,10,2048,1.42,0.54
36100,Ocala FL Metro Area,419,Southern Baptist Convention,69,18015,12.49,4.79
36100,Ocala FL Metro Area,435,Unitarian Universalist Association of Congregations,1,132,0.09,0.04
36100,Ocala FL Metro Area,443,United Church of Christ,2,150,0.10,0.04
36100,Ocala FL Metro Area,FGN,United Church of God,1,,,
36100,Ocala FL Metro Area,445,United Holy Church of America Inc.,1,23,0.02,0.01
36100,Ocala FL Metro Area,449,United Methodist Church,25,7730,5.36,2.06
36100,Ocala FL Metro Area,454,United Pentecostal Church International,7,,,
36100,Ocala FL Metro Area,124,Unity Churches Association of,2,,,
36100,Ocala FL Metro Area,467,Wesleyan Church,1,51,0.04,0.01
36100,Ocala FL Metro Area,469,Wisconsin Evangelical Lutheran Synod,1,163,0.11,0.04
36140,Ocean City NJ Metro Area,003,African Methodist Episcopal Church,4,554,0.89,0.58
36140,Ocean City NJ Metro Area,019,American Baptist Churches in the USA,4,436,0.70,0.46
36140,Ocean City NJ Metro Area,053,Assemblies of God,3,410,0.66,0.43
36140,Ocean City NJ Metro Area,056,"Baha'i Faith USA",0,27,0.04,0.03
36140,Ocean City NJ Metro Area,073,Bible Fellowship Church,1,53,0.09,0.06
36140,Ocean City NJ Metro Area,081,Catholic Church,13,43355,69.66,45.51
36140,Ocean City NJ Metro Area,089,Christian and Missionary Alliance,1,2590,4.16,2.72
36140,Ocean City NJ Metro Area,353,Christian Brethren (Open Plymouth Brethren),1,,,
36140,Ocean City NJ Metro Area,151,Church of Jesus Christ of Latter-day Saints,1,503,0.81,0.53
36140,Ocean City NJ Metro Area,165,Church of the Nazarene,1,415,0.67,0.44
36140,Ocean City NJ Metro Area,167,Churches of Christ,1,25,0.04,0.03
36140,Ocean City NJ Metro Area,193,Episcopal Church,6,802,1.29,0.84
36140,Ocean City NJ Metro Area,207,Evangelical Lutheran Church in America,6,1460,2.35,1.53
36140,Ocean City NJ Metro Area,391,Friends General Conference,1,66,0.11,0.07
36140,Ocean City NJ Metro Area,246,Greek Orthodox Archdiocese of America,1,400,0.64,0.42
36140,Ocean City NJ Metro Area,895,Hindu Temples,1,,,
36140,Ocean City NJ Metro Area,FGR,Independent Judaism,1,0,0.00,0.00
36140,Ocean City NJ Metro Area,272,"Jehovah's Witnesses",2,464,0.75,0.49
36140,Ocean City NJ Metro Area,300,"National Baptist Convention USA, Inc.",2,300,0.48,0.31
36140,Ocean City NJ Metro Area,500,Non-denominational Christian Churches,11,5070,8.15,5.32
36140,Ocean City NJ Metro Area,335,Orthodox Presbyterian Church,3,,,
36140,Ocean City NJ Metro Area,355,Presbyterian Church (U.S.A.),3,316,0.51,0.33
36140,Ocean City NJ Metro Area,356,Presbyterian Church in America,1,44,0.07,0.05
36140,Ocean City NJ Metro Area,413,Seventh-day Adventist Church,3,214,0.34,0.22
36140,Ocean City NJ Metro Area,419,Southern Baptist Convention,1,578,0.93,0.61
36140,Ocean City NJ Metro Area,423,Syriac Orthodox Church of Antioch,1,13,0.02,0.01
36140,Ocean City NJ Metro Area,449,United Methodist Church,22,4147,6.66,4.35
36220,Odessa TX Metro Area,003,African Methodist Episcopal Church,1,202,0.24,0.12
36220,Odessa TX Metro Area,017,American Baptist Association,2,300,0.36,0.18
36220,Odessa TX Metro Area,034,Antiochian Orthodox Christian Archdiocese of North America The,1,62,0.07,0.04
36220,Odessa TX Metro Area,053,Assemblies of God,9,829,1.00,0.50
36220,Odessa TX Metro Area,056,"Baha'i Faith USA",0,44,0.05,0.03
36220,Odessa TX Metro Area,081,Catholic Church,6,26988,32.49,16.34
36220,Odessa TX Metro Area,093,Christian Church (Disciples of Christ),2,333,0.40,0.20
36220,Odessa TX Metro Area,097,Christian Churches and Churches of Christ,3,1265,1.52,0.77
36220,Odessa TX Metro Area,101,Christian Methodist Episcopal Church,1,126,0.15,0.08
36220,Odessa TX Metro Area,123,Church of God (Anderson Indiana),1,140,0.17,0.08
36220,Odessa TX Metro Area,127,Church of God (Cleveland Tennessee),2,200,0.24,0.12
36220,Odessa TX Metro Area,141,Church of God in Christ,2,240,0.29,0.15
36220,Odessa TX Metro Area,151,Church of Jesus Christ of Latter-day Saints,4,1812,2.18,1.10
36220,Odessa TX Metro Area,165,Church of the Nazarene,3,115,0.14,0.07
36220,Odessa TX Metro Area,167,Churches of Christ,15,1962,2.36,1.19
36220,Odessa TX Metro Area,173,Community of Christ,1,,,
36220,Odessa TX Metro Area,270,Conservative Judaism,1,154,0.19,0.09
36220,Odessa TX Metro Area,057,Converge Worldwide / Baptist General Conference,1,,,
36220,Odessa TX Metro Area,185,Cumberland Presbyterian,1,257,0.31,0.16
36220,Odessa TX Metro Area,193,Episcopal Church,3,499,0.60,0.30
36220,Odessa TX Metro Area,203,Evangelical Free Church of America,2,,,
36220,Odessa TX Metro Area,207,Evangelical Lutheran Church in America,1,30,0.04,0.02
36220,Odessa TX Metro Area,215,Evangelical Methodist Church,1,,,
36220,Odessa TX Metro Area,FGP,Every Nation,1,,,
36220,Odessa TX Metro Area,263,Foursquare Gospel International Church of the,2,104,0.13,0.06
36220,Odessa TX Metro Area,232,Full Gospel Baptist Church Fellowship,1,126,0.15,0.08
36220,Odessa TX Metro Area,FFR,Full Gospel Christian Assemblies International,1,500,0.60,0.30
36220,Odessa TX Metro Area,272,"Jehovah's Witnesses",10,2660,3.20,1.61
36220,Odessa TX Metro Area,283,Lutheran Church--Missouri Synod,2,259,0.31,0.16
36220,Odessa TX Metro Area,255,Lutheran Congregations in Mission for Christ,1,64,0.08,0.04
36220,Odessa TX Metro Area,302,National Missionary Baptist Convention Inc.,2,276,0.33,0.17
36220,Odessa TX Metro Area,500,Non-denominational Christian Churches,33,15130,18.21,9.16
36220,Odessa TX Metro Area,355,Presbyterian Church (U.S.A.),2,441,0.53,0.27
36220,Odessa TX Metro Area,271,Reform Judaism,1,178,0.21,0.11
36220,Odessa TX Metro Area,403,Salvation Army,1,142,0.17,0.09
36220,Odessa TX Metro Area,413,Seventh-day Adventist Church,2,737,0.89,0.45
36220,Odessa TX Metro Area,419,Southern Baptist Convention,56,24980,30.07,15.12
36220,Odessa TX Metro Area,F54,The local churches,1,,,
36220,Odessa TX Metro Area,435,Unitarian Universalist Association of Congregations,1,3,0.00,0.00
36220,Odessa TX Metro Area,449,United Methodist Church,6,1852,2.23,1.12
36220,Odessa TX Metro Area,454,United Pentecostal Church International,2,,,
36220,Odessa TX Metro Area,124,Unity Churches Association of,1,,,
36220,Odessa TX Metro Area,463,Vineyard USA,1,60,0.07,0.04
36260,Ogden-Clearfield UT Metro Area,003,African Methodist Episcopal Church,1,202,0.04,0.03
36260,Ogden-Clearfield UT Metro Area,019,American Baptist Churches in the USA,4,427,0.08,0.06
36260,Ogden-Clearfield UT Metro Area,053,Assemblies of God,15,4849,0.96,0.70
36260,Ogden-Clearfield UT Metro Area,056,"Baha'i Faith USA",1,133,0.03,0.02
36260,Ogden-Clearfield UT Metro Area,084,Calvary Chapel Fellowship Churches,1,,,
36260,Ogden-Clearfield UT Metro Area,081,Catholic Church,9,30401,5.99,4.38
36260,Ogden-Clearfield UT Metro Area,353,Christian Brethren (Open Plymouth Brethren),1,,,
36260,Ogden-Clearfield UT Metro Area,097,Christian Churches and Churches of Christ,3,304,0.06,0.04
36260,Ogden-Clearfield UT Metro Area,127,Church of God (Cleveland Tennessee),6,169,0.03,0.02
36260,Ogden-Clearfield UT Metro Area,141,Church of God in Christ,2,530,0.10,0.08
36260,Ogden-Clearfield UT Metro Area,145,Church of God of Prophecy,2,,,
36260,Ogden-Clearfield UT Metro Area,151,Church of Jesus Christ of Latter-day Saints,1083,442947,87.24,63.75
36260,Ogden-Clearfield UT Metro Area,165,Church of the Nazarene,1,62,0.01,0.01
36260,Ogden-Clearfield UT Metro Area,167,Churches of Christ,4,297,0.06,0.04
36260,Ogden-Clearfield UT Metro Area,173,Community of Christ,1,,,
36260,Ogden-Clearfield UT Metro Area,057,Converge Worldwide / Baptist General Conference,1,,,
36260,Ogden-Clearfield UT Metro Area,186,Coptic Orthodox Church,1,40,0.01,0.01
36260,Ogden-Clearfield UT Metro Area,193,Episcopal Church,4,423,0.08,0.06
36260,Ogden-Clearfield UT Metro Area,204,Ethiopian Orthodox,1,80,0.02,0.01
36260,Ogden-Clearfield UT Metro Area,207,Evangelical Lutheran Church in America,2,299,0.06,0.04
36260,Ogden-Clearfield UT Metro Area,216,Evangelical Presbyterian Church,1,,,
36260,Ogden-Clearfield UT Metro Area,263,Foursquare Gospel International Church of the,4,430,0.08,0.06
36260,Ogden-Clearfield UT Metro Area,FFR,Full Gospel Christian Assemblies International,2,130,0.03,0.02
36260,Ogden-Clearfield UT Metro Area,246,Greek Orthodox Archdiocese of America,1,325,0.06,0.05
36260,Ogden-Clearfield UT Metro Area,272,"Jehovah's Witnesses",12,2652,0.52,0.38
36260,Ogden-Clearfield UT Metro Area,283,Lutheran Church--Missouri Synod,2,394,0.08,0.06
36260,Ogden-Clearfield UT Metro Area,255,Lutheran Congregations in Mission for Christ,3,390,0.08,0.06
